Name_State,Estimated_households_BPL_Urban,Number_Katcha_households,Average_BPL_katcha_households,StatePercentage,State_wise_Dist_Housing_shortage2012_inMllions
"AP","1014583","235159","624871","6.78","1.27"
"AR","16667","11607","14137","0.15","0.03"
"AS","233333","37262","135298","1.47","0.28"
"BR","933333","230961","582147","6.31","1.19"
"CH","283333","60731","172032","1.87","0.35"
"DL","477083","1170","239127","2.59","0.49"
"GJ","929167","40275","484721","5.26","0.99"
"HR","408333","2249","205291","2.23","0.42"
"HP","18750","17207","17979","0.19","0.04"
"JK","87500","44591","66046","0.72","0.13"
"JH","500000","118126","309063","3.35","0.63"
"KA","935417","66278","500847","5.43","1.02"
"KL","375000","159434","267217","2.9","0.54"
"MP","935417","144517","539967","5.86","1.1"
"MH","1893750","7887","950819","10.31","1.94"
"MN","77083","2311","39697","0.43","0.08"
"ML","29167","2989","16078","0.17","0.03"
"MZ","12500","6875","9688","0.11","0.02"
"NL","29167","175906","102536","1.11","0.21"
"OD","368750","37050","202900","2.2","0.41"
"PB","383333","405","191869","2.08","0.39"
"RJ","691667","437413","564540","6.12","1.15"
"UK","156250","433","78342","0.85","0.16"
"WB","1302083","3118","652601","7.08","1.33"
